12×8 DataFrame
 Row │ parameters  mean        std       naive_se    mcse        ess      rhat     ess_per_sec
     │ Symbol      Float64     Float64   Float64     Float64     Float64  Float64  Float64
─────┼─────────────────────────────────────────────────────────────────────────────────────────
   1 │ α           70.5796     4.90576   0.054848    0.140556    1445.91  1.00273      17.2805
   2 │ σ            6.53523    0.284171  0.00317713  0.00425014  5837.78  1.00093      69.7689
   3 │ τ[1]         6.04729    5.1055    0.0570813   0.145654    1015.52  1.00211      12.1368
   4 │ τ[2]         6.27503    5.13733   0.0574371   0.132187    1199.19  1.00285      14.3319
   5 │ βⱼ[1,1]      0.278854   0.815108  0.00911319  0.0158758   2730.34  1.00183      32.631
   6 │ βⱼ[2,1]     -0.884681   1.0363    0.0115862   0.0219912   1987.99  1.00078      23.759
   7 │ βⱼ[3,1]      0.564837   0.908082  0.0101527   0.022402    1877.09  1.00075      22.4337
   8 │ βⱼ[4,1]      0.0957369  0.800465  0.00894947  0.0140198   3143.54  1.00023      37.5694
   9 │ βⱼ[1,2]      0.257179   0.794039  0.00887762  0.0131949   2539.21  1.0004       30.3468
  10 │ βⱼ[2,2]     -0.933542   1.03592   0.011582    0.0270072   1575.86  1.0012       18.8336
  11 │ βⱼ[3,2]      0.580382   0.882708  0.00986898  0.0178507   2083.4   1.00133      24.8993
  12 │ βⱼ[4,2]      0.114357   0.772428  0.00863601  0.014594    3638.25  1.00057      43.4817
